"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.937606000E-3	-4.740181446E0	3.665804386E0	6.649653912E0	8.951275835E0
5.005835000E-3	-4.785645485E0	3.354737282E0	6.873383045E0	9.022198148E0
6.073022000E-3	-5.192425251E0	6.774080753E0	3.879961967E0	9.375689570E0
7.141252000E-3	-5.241477966E0	6.394818306E0	4.299902439E0	9.319654147E0
8.209481000E-3	-5.257031441E0	6.031109333E0	4.709074974E0	9.283644030E0
9.277710000E-3	-5.272584915E0	6.033502102E0	4.721039295E0	9.300081254E0
1.034593900E-2	-5.294120312E0	6.027520180E0	4.767699242E0	9.332184388E0
1.141312700E-2	-5.315655708E0	6.026323795E0	4.805984497E0	9.363239882E0
1.248135600E-2	-5.330012321E0	6.013163090E0	4.851448059E0	9.386357651E0
1.354958500E-2	-5.339583874E0	5.986842155E0	4.936393261E0	9.419204498E0
1.461781400E-2	-5.345565796E0	5.972485542E0	5.003392220E0	9.448787802E0
1.568604300E-2	-5.358726501E0	5.966503143E0	5.026124001E0	9.464514353E0
1.675323100E-2	-5.374279499E0	5.949753284E0	5.063212872E0	9.482540211E0
1.782146000E-2	-5.385047436E0	5.925825119E0	5.111069202E0	9.499324587E0
1.888968900E-2	-5.393422127E0	5.905486107E0	5.185246468E0	9.531555452E0
1.995791800E-2	-5.405386448E0	5.897111416E0	5.255835056E0	9.571725437E0
2.102614700E-2	-5.416153908E0	5.891129494E0	5.286941528E0	9.591239784E0
2.209333500E-2	-5.414957523E0	5.893522263E0	5.330012321E0	9.615841148E0
2.316156400E-2	-5.425725460E0	5.899504185E0	5.511867046E0	9.727452119E0
2.422979300E-2	-5.448457241E0	5.891129494E0	5.641079426E0	9.808815938E0
2.529802200E-2	-5.461617470E0	5.882754326E0	5.651846886E0	9.817302942E0
2.636625200E-2	-5.466403484E0	5.891129494E0	5.691328526E0	9.847750715E0
2.743343900E-2	-5.467599869E0	5.898307800E0	5.740381718E0	9.881126732E0
2.850166800E-2	-5.462814331E0	5.899504185E0	5.801398277E0	9.914772414E0
2.956989700E-2	-5.447260857E0	5.905486107E0	5.868397713E0	9.949146130E0
3.063812700E-2	-5.443671703E0	5.911468506E0	5.911468506E0	9.976195738E0
3.170635600E-2	-5.444868088E0	5.904289722E0	5.979663849E0	1.001317159E1
