"Time (s)"	"Velocity (m/s)"	"Gyroscope y (rad/s)"
2.628470829E-2	-5.537252426E-3	-1.384313107E-1
6.597870833E-2	-3.080534458E-2	-7.701336145E-1
1.056737083E-1	-4.500588894E-2	-1.125147223E0
1.453677083E-1	-7.418174267E-2	-1.854543567E0
1.850617083E-1	-9.510234833E-2	-2.377558708E0
2.247557082E-1	-4.836869240E-2	-1.209217310E0
2.644507083E-1	-3.728192568E-2	-9.320481420E-1
3.041447083E-1	-3.335439920E-2	-8.338599801E-1
3.438387082E-1	-5.139868259E-3	-1.284967065E-1
3.835327083E-1	7.133993626E-2	1.783498406E0
4.232277083E-1	1.229495811E-1	3.073739529E0
4.629217082E-1	8.487735748E-2	2.121933937E0
5.026157083E-1	1.241913319E-2	3.104783297E-1
5.423097083E-1	-2.602294922E-2	-6.505737305E-1
5.820047082E-1	7.931934595E-3	1.982983649E-1
6.216987083E-1	-5.716278553E-2	-1.429069638E0
6.613927083E-1	-2.866692305E-2	-7.166730762E-1
7.010867082E-1	2.971512973E-3	7.428782433E-2
7.407817083E-1	-2.143810511E-2	-5.359526277E-1
7.804757083E-1	1.078845620E-2	2.697114050E-1
8.201697082E-1	-1.106635284E-1	-2.766588211E0
8.598637083E-1	4.364140928E-3	1.091035232E-1
8.995587083E-1	6.202705860E-2	1.550676465E0
9.392527083E-1	5.931128025E-2	1.482782006E0
9.789477083E-1	-1.566570878E-2	-3.916427195E-1
1.018642708E0	2.349222660E-2	5.873056650E-1
1.058336708E0	3.607563734E-2	9.018909335E-1
1.098030708E0	1.219459343E-1	3.048648357E0
1.137724708E0	-6.319283962E-2	-1.579820991E0
1.177419708E0	-7.476198673E-2	-1.869049668E0
1.217113708E0	-1.460181713E-2	-3.650454283E-1
1.256807708E0	-9.893440604E-3	-2.473360151E-1
1.296501708E0	9.283475876E-3	2.320868969E-1
1.336196708E0	7.686241865E-3	1.921560466E-1
1.375890708E0	1.238273501E-2	3.095683753E-1
